Vand ud af køler, Vand ind i køler, Olie
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.017276878418131858e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.032651049613742344e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.032651049613742344e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.032651049613742344e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.032651049613742344e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.032651049613742344e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.017276878418131858e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.017276878418131858e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
1.021098828389549951e+01,1.028785859937850766e+01,2.500000000000000000e+01
