Vand ud af køler, Vand ind i køler, Olie
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
6.247174803919141794e+01,8.689621045193491966e+01,6.000000000000000000e+00
